Kod,Nazwa,ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku przedprodukcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym,współczynnik obciążenia demograficznego osobami starszymi,odsetek osób w wieku 65 lat i więcej w populacji ogółem,odsetek osób w wieku 65 lat i więcej w populacji ogółem - mężczyźni,odsetek osób w wieku 65 lat i więcej w populacji ogółem - kobiety
,,2024,2024,2024,2024,2024,2024,2024
,,[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba]
0000000,POLSKA,"71,7","132,1","40,8","31,8","20,6","17,3","23,7"
0200000,DOLNOŚLĄSKIE,"71,4","145,0","42,3","33,4","21,5","18,0","24,8"
0201000,Powiat bolesławiecki,"72,2","139,3","42,0","32,5","21,1","17,6","24,4"
0202000,Powiat dzierżoniowski,"77,3","184,9","50,2","39,2","24,7","20,3","28,6"
0203000,Powiat głogowski,"77,0","147,9","45,9","36,0","22,8","19,7","25,8"
0204000,Powiat górowski,"71,8","143,7","42,4","32,6","21,2","18,5","23,9"
0205000,Powiat jaworski,"74,8","160,0","46,1","35,6","22,8","19,6","25,9"
0206000,Powiat karkonoski,"72,7","174,4","46,2","36,0","23,3","20,2","26,2"
0207000,Powiat kamiennogórski,"71,3","176,8","45,6","35,2","23,0","18,8","26,9"
0208000,Powiat kłodzki,"77,1","189,3","50,5","39,3","24,8","20,7","28,7"
0209000,Powiat legnicki,"73,1","127,7","41,0","31,0","20,2","17,4","22,8"
0210000,Powiat lubański,"72,9","172,2","46,1","36,1","23,3","19,3","27,0"
0211000,Powiat lubiński,"77,5","150,9","46,6","36,8","23,1","19,6","26,4"
0212000,Powiat lwówecki,"73,6","167,6","46,1","35,5","22,9","19,5","26,2"
0213000,Powiat milicki,"75,2","124,6","41,7","32,3","20,8","17,6","23,9"
0214000,Powiat oleśnicki,"71,0","121,3","38,9","30,4","19,7","16,5","22,8"
0215000,Powiat oławski,"73,0","125,6","40,7","32,0","20,6","17,5","23,5"
0216000,Powiat polkowicki,"69,0","112,0","36,5","28,1","18,5","15,8","21,1"
0217000,Powiat strzeliński,"72,6","143,1","42,7","33,2","21,4","18,1","24,6"
0218000,Powiat średzki,"67,5","99,0","33,6","25,7","17,1","14,4","19,6"
0219000,Powiat świdnicki,"74,4","161,3","45,9","35,9","23,0","19,0","26,7"
0220000,Powiat trzebnicki,"70,6","116,7","38,0","29,5","19,3","16,7","21,7"
0221000,Powiat wałbrzyski,"72,5","176,5","46,3","35,7","23,2","19,4","26,7"
0222000,Powiat wołowski,"72,0","146,5","42,8","33,4","21,6","18,2","24,8"
0223000,Powiat wrocławski,"66,5","64,3","26,1","20,1","13,3","11,8","14,8"
0224000,Powiat ząbkowicki,"73,9","176,7","47,2","36,4","23,5","19,9","26,9"
0225000,Powiat zgorzelecki,"70,8","169,9","44,6","34,5","22,5","18,8","25,9"
0226000,Powiat złotoryjski,"73,8","160,9","45,5","34,9","22,6","19,4","25,6"
0261000,Powiat m. Jelenia Góra,"83,2","226,3","57,7","45,8","27,9","23,1","32,0"
0262000,Powiat m. Legnica,"77,5","172,9","49,1","38,5","24,2","19,8","28,1"
0264000,Powiat m. Wrocław,"64,6","145,1","38,2","31,5","20,7","16,8","24,2"
0265000,Powiat m. Wałbrzych od 2013,"81,1","224,5","56,1","43,8","27,1","22,3","31,4"
0400000,KUJAWSKO-POMORSKIE,"72,1","135,9","41,5","32,2","20,9","17,6","23,9"
0401000,Powiat aleksandrowski,"73,8","144,6","43,6","33,6","21,6","18,1","25,0"
0402000,Powiat brodnicki,"70,6","104,6","36,1","27,4","18,0","15,4","20,5"
0403000,Powiat bydgoski,"65,3","89,7","30,9","23,6","15,9","13,9","17,8"
0404000,Powiat chełmiński,"68,7","125,4","38,2","29,3","19,4","16,5","22,2"
0405000,Powiat golubsko-dobrzyński,"69,0","120,1","37,6","29,1","19,1","16,6","21,6"
0406000,Powiat grudziądzki,"67,9","103,3","34,5","26,0","17,4","15,4","19,4"
0407000,Powiat inowrocławski,"72,6","153,3","43,9","33,5","21,8","18,2","25,1"
0408000,Powiat lipnowski,"67,7","114,6","36,2","27,7","18,4","15,4","21,4"
0409000,Powiat mogileński,"74,1","133,8","42,4","32,2","20,8","17,9","23,5"
