KT_USC,WOJEWÓDZTWO,POWIAT,GMINA,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ZUZANNA,KOBIETA,7
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MAJA,KOBIETA,7
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,IGA,KOBIETA,7
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,AMELIA,KOBIETA,7
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,JAGODA,KOBIETA,6
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,OLIWIA,KOBIETA,6
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MATYLDA,KOBIETA,5
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,LENA,KOBIETA,5
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,MARIA,KOBIETA,5
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,POLA,KOBIETA,5
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ALEKSANDRA,KOBIETA,4
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,AURELIA,KOBIETA,4
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,EMILIA,KOBIETA,4
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,NELA,KOBIETA,4
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,ŁUCJA,KOBIETA,4
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,HANNA,KOBIETA,3
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,LILIANA,KOBIETA,3
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,GABRIELA,KOBIETA,3
0201011,DOLNOŚLĄSKIE,BOLESŁAWIECKI,BOLESŁAWIEC,JULIA,KOBIETA,3
